streetAddress,price,bedrooms,bathrooms,parking,addressLocality,addressRegion,postalCode,property_type,nearby_schools,nbn_type,age_distribution,geo
6/30 Stephen Street,500.0,2.0,1.0,0.0,Yarraville,VIC,3013,House,"[""St John's School"", 'Footscray City College', 'Footscray City Primary School', 'Corpus Christi School', 'SEDA College (Victoria) - Melbourne City Talented Player Program - Kensington', 'Holy Rosary School', 'Yarraville Special Developmental School', ""St Margaret Mary's School"", 'Sacred Heart School', 'Rosamond Special School', ""St Augustine's School"", ""St Monica's School"", 'Footscray High School', 'Furlong Park School For Deaf Children', 'SEDA College (Victoria) - Cricket Australia - Footscray', 'MacKillop Specialist School - Flexible Learning Centre Maidstone']",FTTP,balanced age,"{'latitude': -37.8116548, 'longitude': 144.8950429}"
1/101 Sutton Street,1825.0,2.0,1.0,1.0,Echuca,VIC,3564,Apartment,"[""St Joseph's College - Brigidine Campus"", 'Echuca College', 'Moama Anglican Grammar School', 'River City Christian College', ""St Joseph's College - Kildare"", 'Carlo Catholic College', 'Blessed Carlo Catholic College', ""St Mary's School"", 'Echuca Twin Rivers Specialist School', 'Echuca East Primary School']",FTTN,balanced age,
85 Oakdean Boulevard,715.0,4.0,2.0,2.0,Ocean Grove,VIC,3226,House,"['Surfside Primary School', 'Our Lady Star of the Sea School', 'Bellarine Secondary College']",FTTP,balanced age,
18/24 Brixton Rise,400.0,1.0,1.0,1.0,Glen Iris,VIC,3146,Apartment,"['Sacre Coeur', 'Auburn High School', 'Alia College', 'Glen Iris Primary School', 'Bulleen Heights School', 'The Currajong School', 'Port Phillip Specialist School', 'Bialik College', ""St Mary's School"", ""St Roch's School"", ""St Cecilia's School"", ""Korowa Anglican Girls' School"", 'Caulfield Grammar School - Malvern Campus', ""St Michael's School""]",HFC,balanced age,"{'latitude': -37.8588298, 'longitude': 145.0596395}"
1015/338 Kings Way,450.0,1.0,1.0,1.0,South Melbourne,VIC,3205,Apartment,"['SEDA College (Victoria) - MSAC Function Room', 'Hester Hornbrook Academy - South Melbourne', 'Christ Church Grammar School', 'Youth2Industry College', 'Melbourne Grammar School', 'South Melbourne Park Primary School', 'SEDA College (Victoria) - Sailing - Albert Park', 'Hester Hornbrook Academy', 'Melbourne Girls Grammar - Morris Hall Campus', 'Port Phillip Specialist School', 'Southern Autistic School', 'Galilee Regional Catholic Primary School', 'Albert Park College', 'Melbourne Grammar School - Wadhurst Campus']",FTTP,20 - 39,"{'latitude': -37.8349184, 'longitude': 144.9699899}"
20A Wisewould Street,850.0,3.0,2.0,2.0,Flemington,VIC,3031,Townhouse/Villa,"['SEDA College (Victoria) - MC North Melbourne YMCA', 'Mount Alexander 7-12 College', 'SEDA College (Victoria) - Netball Ascot Vale', 'Ascot Vale West Primary School', 'SEDA College (Victoria) - Melbourne City Talented Player Program - Kensington', ""St Brendan's School"", 'Holy Rosary School', 'St Aloysius College', ""St Monica's School"", 'Furlong Park School For Deaf Children', ""St Mary's School"", 'SEDA College (Victoria) - Cricket Australia - Footscray', 'SEDA College (Victoria) - Melbourne Sports Centres Parkville']",FTTP,balanced age,"{'latitude': -37.7845623, 'longitude': 144.9199684}"
104/538 Little Lonsdale Street,575.0,2.0,1.0,1.0,Melbourne,VIC,3000,Apartment,"['River Nile School', 'Hester Hornbrook Academy - City Campus', ""St Joseph's Flexible Learning Centre"", 'University High School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",FTTB,20 - 39,
1/22 Stephenson,650.0,3.0,2.0,1.0,Spotswood,VIC,3015,Townhouse/Villa,"['Australian Islamic Centre College', 'Bayside P-12 College', 'Westbourne Grammar School - Williamstown Campus', 'Corpus Christi School', 'Yarraville Special Developmental School', 'St Leo the Great Primary School', 'Westbourne Grammar School', 'Spotswood Primary School', ""St Margaret Mary's School"", 'Sacred Heart School', 'Rosamond Special School', ""St Augustine's School"", 'Footscray High School - Pilgrim Campus', 'Annunciation School', 'Emmanuel College', 'Rosamond Special School Olympia Street Campus']",FTTC,balanced age,"{'latitude': -37.82829479999999, 'longitude': 144.8749378}"
10/212 Walsh Street,450.0,1.0,1.0,1.0,South Yarra,VIC,3141,Apartment,"['Melbourne Girls College', 'Christ Church Grammar School', 'Kamaruka', 'Melbourne Grammar School', 'South Yarra Primary School', 'Kamaruka - Primary Campus', 'Ignatius Learning Centre', 'Melbourne Girls Grammar', 'Melbourne Girls Grammar - Morris Hall Campus', ""St Kevin's College - Waterford"", 'Port Phillip Specialist School', 'Richmond High School-Gleadell Street Campus', 'Prahran High School', 'Melbourne Grammar School - Wadhurst Campus', 'Melbourne Indigenous Transition School']",FTTC,balanced age,"{'latitude': -37.8330798, 'longitude': 144.9859351}"
1206/483 Swanston Street,780.0,2.0,2.0,1.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'River Nile School', ""St Joseph's Flexible Learning Centre"", ""Stott's Colleges"", 'University High School', 'Carlton Gardens Primary School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Simonds Catholic College', 'Haileybury Girls College - City Campus']",FTTB,20 - 39,"{'latitude': -37.8071377, 'longitude': 144.9623278}"
10 Murray Court,500.0,3.0,1.0,2.0,Cranbourne,VIC,3977,House,"['Cranbourne Secondary College', 'St Thomas the Apostle Catholic Primary School', 'Frankston Special Developmental School', ""St Peter's College - Clyde North Campus"", 'St Francis De Sales Catholic Primary School', 'Casey Grammar School', ""St Therese's School"", 'Cranbourne Park Primary School', 'Trinity Catholic Primary School', 'Southern Autistic School', 'Nepean Special School', ""St Peter's College"", ""St Agatha's School""]",FTTP,balanced age,
3006/119 A'Beckett Street,950.0,2.0,2.0,1.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'River Nile School', ""St Joseph's Flexible Learning Centre"", 'University High School', 'Carlton Gardens Primary School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus']",,20 - 39,"{'latitude': -37.8095779, 'longitude': 144.9600855}"
911/41 Batman Street,620.0,2.0,1.0,1.0,West Melbourne,VIC,3003,Apartment,"['River Nile School', ""St Joseph's Flexible Learning Centre"", 'Hester Hornbrook Academy - City Campus', 'University High School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'North Melbourne Primary School']",,20 - 39,
2901/11 Rose Lane,650.0,2.0,1.0,1.0,Melbourne,VIC,3000,Apartment,"['River Nile School', 'Hester Hornbrook Academy - City Campus', ""St Joseph's Flexible Learning Centre"", 'University High School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",,20 - 39,
10 Hunter Street,460.0,3.0,1.0,1.0,Golden Square,VIC,3555,House,"['Girton Grammar School', 'Golden Square Primary School', 'Crusoe 7-10 Secondary College', ""St Kilian's School"", 'SEDA College (Victoria) - Multi Bendigo', ""St Joseph's School"", 'Catherine McAuley College', 'Bendigo Senior Secondary College', ""St Monica's School"", 'OneSchool Global Vic - Bendigo Centre', 'Doxa School Bendigo', 'Creek Street Christian College', 'Girton Grammar School - Junior School']",FTTN,balanced age,
587 Boronia Rd,720.0,4.0,3.0,2.0,Wantirna,VIC,3152,Townhouse/Villa,"[""St Luke's School"", ""St Mary's College for the Deaf - Wantirna South Campus"", ""St James' School"", 'Our Lady of Lourdes School', 'Wantirna College', 'Vermont South Special School', 'Aquinas College', ""St Mary's College for the Deaf - Ringwood Campus"", 'Regency Park Primary School', 'SEDA College (Victoria) - Jubilee Park', 'St Andrews Christian College', 'Holy Trinity School', 'The Knox School']",FTTP,balanced age,"{'latitude': -37.84947289999999, 'longitude': 145.2351134}"
27 McFees Road,520.0,3.0,1.0,1.0,Dandenong,VIC,3175,Any,"['SEDA College (Victoria) - Building and Construction - Dandenong', 'Lyndale Secondary College', 'Lyndale Greens Primary School', 'SEDA College (Victoria) - AFL Dandenong Campus - Dandenong Oasis', 'SEDA College (Victoria) - Basketball - Dandenong', 'Nazareth College', ""St Gerard's School"", 'Southern Autistic School', ""St Mary's College for the Deaf - Dandenong Campus"", ""St Mary's School"", 'Community College Gippsland Ltd | ECG Secondary College - ECG Secondary College - Dandenong Campus', ""St Elizabeth's School"", ""St John's Regional College""]",HFC,balanced age,"{'latitude': -37.9632559, 'longitude': 145.209513}"
7/9-11 Vale Street,725.0,2.0,1.0,2.0,St Kilda,VIC,3182,Apartment,"[""St Mary's College Melbourne - Presentation Campus"", 'Cheder Levi Yitzchok Inc', 'St Kilda Primary School', ""Christian Brothers' College - Balaclava Campus"", 'Wesley College - St Kilda Road Junior Campus', 'Presentation College Windsor', 'Yeshivah College', 'Port Phillip Specialist School', ""St Michael's Grammar School"", 'Southern Autistic School', ""St Mary's School - Campus 2"", 'Yesodei HaTorah College', ""St Mary's College Melbourne - Edmund Rice Campus"", 'Elwood College']",,balanced age,"{'latitude': -37.866256, 'longitude': 144.982408}"
1/11 York Street,590.0,3.0,3.0,1.0,Geelong,VIC,3220,Townhouse/Villa,"['Ashby Primary School', 'Geelong High School', 'The Geelong College', 'Holy Spirit Parish School', ""St John's Lutheran School Geelong"", ""St Patrick's School"", 'SEDA College (Victoria) - BVNV Geelong', 'SEDA College (Victoria) - Multi Geelong', ""Geelong Lutheran College - St John's Newtown Campus"", 'Nelson Park School', 'Sacred Heart College', 'Indie School Geelong', ""St Mary's School"", 'Matthew Flinders Girls Secondary College']",FTTN,balanced age,
6 San Marco Place,480.0,2.0,1.0,1.0,Mill Park,VIC,3082,Apartment,"[""St Luke's School"", 'Plenty River College', ""St Monica's College"", ""St Monica's College - Dalton Road Campus"", 'St John XXIII Primary School', 'Loyola College', 'Merriang Special Developmental School', ""St Damian's School"", 'Northside Christian College', 'Parade College', 'Mill Park Secondary College', 'St Francis of Assisi School', 'Mill Park Primary School']",FTTP,balanced age,"{'latitude': -37.6759091, 'longitude': 145.0590263}"
9/70-74 Cardinal Road,480.0,2.0,1.0,1.0,Glenroy,VIC,3046,Townhouse/Villa,"['Ilim College - Glenroy Campus', 'Penola Catholic College', 'Corpus Christi School', 'SEDA College (Victoria) - Basketball Broadmeadows', 'St Francis de Sales School', ""St Dominic's School"", 'Pascoe Vale Girls Secondary College', 'Penola Catholic College - Glenroy Campus', 'Sirius College', 'Glenroy Central Primary School', 'Glenroy Private', ""St Thomas More's School"", 'Glenroy Secondary College']",,balanced age,"{'latitude': -37.7037382, 'longitude': 144.9296435}"
18 Marriott Street,550.0,2.0,1.0,1.0,St Kilda,VIC,3182,Apartment,"[""St Mary's College Melbourne - Presentation Campus"", 'Cheder Levi Yitzchok Inc', 'St Kilda Primary School', ""Christian Brothers' College - Balaclava Campus"", 'Presentation College Windsor', 'Yeshivah College', 'Port Phillip Specialist School', ""St Michael's Grammar School"", 'Southern Autistic School', ""St Mary's School - Campus 2"", ""St Mary's School"", 'Yesodei HaTorah College', ""St Mary's College Melbourne - Edmund Rice Campus"", 'Elwood College']",HFC,balanced age,"{'latitude': -37.8643087, 'longitude': 144.9881632}"
1716/39 Lonsdale Street,500.0,2.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'River Nile School', ""Stott's Colleges"", 'University High School', 'Carlton Gardens Primary School', 'Holmes Grammar School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Academy of Mary Immaculate', 'Sacred Heart School', 'Eltham College - King Street Campus', 'Haileybury College - City Boys', 'Mount Alexander 7-12 College-River Nile Campus', 'Collingwood College']",FTTB,20 - 39,
165 Lord Street,700.0,3.0,1.0,0.0,Richmond,VIC,3121,House,"[""Strathcona Baptist Girls' Grammar - Hawthorn Campus"", 'Richmond High School', 'Melbourne Girls College', 'Richmond Primary School', 'Ignatius Learning Centre', 'Kamaruka', 'Kamaruka - Primary Campus', 'Geelong Grammar School - Toorak campus', ""St Kevin's College - Glendalough"", ""St Kevin's College - Waterford"", 'Melbourne Indigenous Transition School - MITS Year 8 Campus', 'Richmond High School-Gleadell Street Campus', 'Melbourne Indigenous Transition School', 'Trinity Catholic School']",FTTC,balanced age,
Dg02/8 Olive York Way,500.0,2.0,1.0,1.0,Brunswick West,VIC,3055,Apartment,"['Lowther Hall Anglican Grammar School', 'Brunswick North West Primary School', 'Antonine College', ""St Fidelis' School"", ""St Joseph's School"", ""St Columba's College"", ""St Margaret Mary's School"", 'Brunswick Secondary College', ""St Vincent de Paul's School"", ""St Monica's Primary School"", 'Penleigh & Essendon Grammar School - Moonee Ponds Campus', 'Penleigh & Essendon Grammar School - Essendon Campus']",,20 - 39,
301/5 Stawell Street,450.0,1.0,1.0,0.0,West Melbourne,VIC,3003,Apartment,"['River Nile School', ""St Joseph's Flexible Learning Centre"", 'SEDA College (Victoria) - MC North Melbourne YMCA', 'University High School', 'SEDA College (Victoria) - The Huddle, North Melbourne Football Club', ""St Michael's Primary School"", 'Haileybury College - City Girls', 'St Aloysius College', 'Haileybury College - City Boys', 'Simonds Catholic College', 'Haileybury Girls College - City Campus', 'North Melbourne Primary School']",FTTB,20 - 39,"{'latitude': -37.8060792, 'longitude': 144.9421954}"
1412/188 Macaulay Road,850.0,3.0,2.0,2.0,North Melbourne,VIC,3051,Apartment,"['SEDA College (Victoria) - MC North Melbourne YMCA', ""St Joseph's Flexible Learning Centre"", 'University High School', 'SEDA College (Victoria) - The Huddle, North Melbourne Football Club', 'SEDA College (Victoria) - Melbourne City Talented Player Program - Kensington', 'Holy Rosary School', ""St Brendan's School"", ""St Michael's Primary School"", 'St Aloysius College', 'Simonds Catholic College', 'SEDA College (Victoria) - Melbourne Sports Centres Parkville', 'North Melbourne Primary School']",FTTP,balanced age,"{'latitude': -37.7962788, 'longitude': 144.9401218}"
6/369 Barnard Street,400.0,2.0,1.0,1.0,Bendigo,VIC,3550,Apartment,"['Girton Grammar School', ""St Kilian's School"", ""St Peter's School"", 'SEDA College (Victoria) - Multi Bendigo', ""St Joseph's School"", ""St Therese's School"", 'Catherine McAuley College', 'Bendigo Senior Secondary College', 'Bendigo Primary School', 'Doxa School Bendigo', 'Bendigo South East 7-10 Secondary College', 'Creek Street Christian College', 'Girton Grammar School - Junior School']",,balanced age,
3/85 Hopetoun Avenue,650.0,3.0,3.0,1.0,Brunswick West,VIC,3055,Townhouse/Villa,"['Lowther Hall Anglican Grammar School', 'Penleigh & Essendon Grammar School - Essendon Campus', 'Antonine College', ""St Joseph's School"", ""St Fidelis' School"", ""St Columba's College"", ""St Therese's School"", 'Pascoe Vale South Primary School', 'Furlong Park School For Deaf Children', ""St Vincent de Paul's School"", ""St Monica's Primary School"", 'Penleigh & Essendon Grammar School - Moonee Ponds Campus', 'Strathmore Secondary College']",HFC,balanced age,"{'latitude': -37.7524711, 'longitude': 144.932981}"
